Species,Dataset,IUCN,Class,Mass,ScaledLogRaw,Res
Chlorocichla laetissima,Willemen et al. (2015),LC,Aves,50,-1.0175844661150866,-1.4838313052890881
Chlorocichla simplex,Willemen et al. (2015),LC,Aves,45.1,-0.8914435337473892,-1.3576840134140473
Chloropeta natalensis,Willemen et al. (2015),LC,Aves,10.6,-0.5875169425673733,-1.0537126461108972
Chloropeta similis,Willemen et al. (2015),LC,Aves,11.3,-0.5875169425673733,-1.0537135546119463
Chlorostilbon canivetii,Willemen et al. (2015),LC,Aves,2.9,0.24157062219825937,-0.2246150878337245
Chlorostilbon gibsoni,Willemen et al. (2015),LC,Aves,3,-0.6460669044140142,-1.1122527442318615
Chlorostilbon mellisugus,Willemen et al. (2015),LC,Aves,2.7,0.541341036422545,0.07515558596228955
Choeroniscus godmani,Willemen et al. (2015),LC,Mammalia,7.9,-1.4992967161074209,-1.135563358740952
Choeroniscus minor,Willemen et al. (2015),LC,Mammalia,8.7,-1.4992967161074209,-1.1355643970278653
Choeroniscus periosus,Willemen et al. (2015),VU,Mammalia,10.5,-1.4992967161074209,-1.061979102410099
Choeronycteris mexicana,Willemen et al. (2015),NT,Mammalia,16.6,-0.0707080955256441,0.37175253258890145
Choeropsis liberiensis,Willemen et al. (2015),EN,Mammalia,235001.2,0.9554623158938229,1.0707049849955572
Choloepus didactylus,Willemen et al. (2015),LC,Mammalia,5160,0.9635079248538267,1.3205545847130995
Choloepus hoffmanni,Willemen et al. (2015),LC,Mammalia,4750,0.84735064047914,1.2049294223814533
Chondestes grammacus,Willemen et al. (2015),LC,Aves,27.8,1.289207170904991,0.8229891441928323
Chondrodactylus angulifer,Willemen et al. (2015),LC,Reptilia,26.72826779985206,-0.1857478429031646,0.1516780568801246
Chondrohierax uncinatus,Willemen et al. (2015),LC,Aves,274.5,0.35724629918092615,-0.10929190925810628
Chrotogale owstoni,Willemen et al. (2015),VU,Mammalia,3250,-0.4896744340831805,-0.05656123345520186
Chrotomys mindorensis,Willemen et al. (2015),NT,Mammalia,179,-1.195370124927405,-0.753120269056249
Chrotopterus auritus,Willemen et al. (2015),LC,Mammalia,77.9,-0.7136578749350705,-0.3500153676735108
