Species,Dataset,IUCN,Class,Mass,ScaledLogRaw,Res
Acrocephalus melanopogon,Brambilla et al. (2013),LC,Aves,14,-1.457344949616671,-1.2632110062114954
Aegolius funereus,Brambilla et al. (2013),LC,Aves,167,0.17037592952512062,0.3235047765129155
Alcedo atthis,Brambilla et al. (2013),LC,Aves,43.8,-0.4533678487400183,-0.26722051888541754
Anthus campestris,Brambilla et al. (2013),LC,Aves,22.7,-1.457344949616671,-1.2655426685567974
Aquila chrysaetos,Brambilla et al. (2013),LC,Aves,5194,0.5432540425046921,-0.6508891346262875
Ardea purpurea,Brambilla et al. (2013),LC,Aves,830,-0.828991501232173,-0.853551405386361
Ardeola ralloides,Brambilla et al. (2013),LC,Aves,291,0.419074864813569,0.5389708232016567
Aythya nyroca,Brambilla et al. (2013),NT,Aves,520,1.1624552923043028,1.220977609649383
Botaurus stellaris,Brambilla et al. (2013),LC,Aves,2017,-0.3283900910161045,-0.6710745013626508
Bubo bubo,Brambilla et al. (2013),LC,Aves,2992,1.1624552923043028,0.5584638949842525
Burhinus oedicnemus,Brambilla et al. (2013),LC,Aves,449,0.419074864813569,0.4966256909536427
Calandrella brachydactyla,Brambilla et al. (2013),LC,Aves,22.7,-0.828991501232173,-0.6371892201722996
Calonectris diomedea,Brambilla et al. (2013),LC,Aves,817.3,0.17037592952512062,0.1492197163807414
Caprimulgus europaeus,Brambilla et al. (2013),LC,Aves,83.2,0.17037592952512062,0.34596377703433046
Casmerodius albus,Brambilla et al. (2013),LC,Aves,960,-0.828991501232173,-0.8883923369828283
Charadrius alexandrinus,Brambilla et al. (2013),LC,Aves,47.1,-1.457344949616671,-1.2720820434102884
Chlidonias niger,Brambilla et al. (2013),LC,Aves,58.7,0.419074864813569,0.6012288878928823
Ciconia ciconia,Brambilla et al. (2013),LC,Aves,3150,1.6557950159846635,1.0094584864165992
Circaetus gallicus,Brambilla et al. (2013),LC,Aves,1735,0.17037592952512062,-0.09673045997370444
Circus aeruginosus,Brambilla et al. (2013),LC,Aves,669,-0.4533678487400183,-0.43477859914781225
Circus pygargus,Brambilla et al. (2013),LC,Aves,345,-0.4533678487400183,-0.3479442773227708
Coracias garrulus,Brambilla et al. (2013),LC,Aves,148,-0.4533678487400183,-0.2951468655958167
Crex crex,Brambilla et al. (2013),LC,Aves,142,-0.828991501232173,-0.6691624750912114
Dendrocopos leucotos,Brambilla et al. (2013),LC,Aves,105.5,-0.2035270444213765,-0.03391575671679142
Dendrocopos medius,Brambilla et al. (2013),LC,Aves,58.8,-0.4533678487400183,-0.2712406263773176
Dryocopus martius,Brambilla et al. (2013),LC,Aves,255,-0.4533678487400183,-0.32382363237137046
Egretta garzetta,Brambilla et al. (2013),LC,Aves,510,1.038840309046732,1.1000426980530786
Emberiza hortulana,Brambilla et al. (2013),LC,Aves,26.1,-1.457344949616671,-1.266453892921628
Falco eleonorae,Brambilla et al. (2013),LC,Aves,388,0.17037592952512062,0.2642751927989212
Falco naumanni,Brambilla et al. (2013),LC,Aves,170,0.17037592952512062,0.3227007550145355
Falco peregrinus,Brambilla et al. (2013),LC,Aves,865.6,2.637139431811617,2.603038472543325
Falco vespertinus,Brambilla et al. (2013),NT,Aves,167,-0.2035270444213765,-0.05039819743358165
Ficedula albicollis,Brambilla et al. (2013),LC,Aves,12.5,-0.2035270444213765,-0.00899109026701106
Glareola pratincola,Brambilla et al. (2013),LC,Aves,75,-0.2035270444213765,-0.025741538149927967
Glaucidium passerinum,Brambilla et al. (2013),LC,Aves,73,0.17037592952512062,0.34869745012882253
Gyps fulvus,Brambilla et al. (2013),LC,Aves,8525,1.6557950159846635,-0.4310800315142568
Himantopus himantopus,Brambilla et al. (2013),LC,Aves,157,2.637139431811617,2.792948350460678
Ixobrychus minutus,Brambilla et al. (2013),LC,Aves,146,-0.4533678487400183,-0.29461085126356334
Lanius collurio,Brambilla et al. (2013),LC,Aves,32.5,-1.457344949616671,-1.268169138784839
Lanius minor,Brambilla et al. (2013),LC,Aves,47.2,-0.2035270444213765,-0.018290938931606493
Lullula arborea,Brambilla et al. (2013),LC,Aves,26.3,-1.457344949616671,-1.2665074943548538
Melanocorypha calandra,Brambilla et al. (2013),LC,Aves,59,-0.828991501232173,-0.6469178803026977
Milvus migrans,Brambilla et al. (2013),LC,Aves,850,0.419074864813569,0.38915481733684765
Milvus milvus,Brambilla et al. (2013),NT,Aves,1231.8,-0.2035270444213765,-0.33577222792526085
Neophron percnopterus,Brambilla et al. (2013),EN,Aves,2026,0.17037592952512062,-0.1747205453165656
Nycticorax nycticorax,Brambilla et al. (2013),LC,Aves,590,2.269964364875116,2.3097261805913294
Pernis apivorus,Brambilla et al. (2013),LC,Aves,791,-0.828991501232173,-0.8430991259074209
Phalacrocorax aristotelis,Brambilla et al. (2013),LC,Aves,1598,-0.828991501232173,-1.0593809089716442
Picoides tridactylus,Brambilla et al. (2013),LC,Aves,61.2,-0.4533678487400183,-0.2718838435760217
Picus canus,Brambilla et al. (2013),LC,Aves,136,-0.828991501232173,-0.6675544320944514
Platalea leucorodia,Brambilla et al. (2013),LC,Aves,1130,0.7912728527067652,0.686310798714576
Plegadis falcinellus,Brambilla et al. (2013),LC,Aves,605,1.6557950159846635,1.6915367242089765
Porphyrio porphyrio,Brambilla et al. (2013),LC,Aves,724,0.7912728527067652,0.7951217081620043
Porzana parva,Brambilla et al. (2013),LC,Aves,63,-0.7036683420101827,-0.5226667497452141
Porzana porzana,Brambilla et al. (2013),LC,Aves,80.7,-1.3314418589876207,-1.155183993563094
Pyrrhocorax pyrrhocorax,Brambilla et al. (2013),LC,Aves,236.3,0.17037592952512062,0.3049318799003372
Sterna hirundo,Brambilla et al. (2013),LC,Aves,126,1.038840309046732,1.2029574498457203
Strix uralensis,Brambilla et al. (2013),LC,Aves,870,0.7912728527067652,0.7559926619075104
Sylvia nisoria,Brambilla et al. (2013),LC,Aves,26.3,-0.4533678487400183,-0.26253039347820084
Amazilia fimbriata,Correia et al. (2016),LC,Aves,4.7,0.30890389510954946,0.4180020614840823
Anthracothorax nigricollis,Correia et al. (2016),LC,Aves,6.6,1.421696807496107,1.5026201076030419
Brotogeris chiriri,Correia et al. (2016),LC,Aves,64.2,1.6488167429587128,0.8755967288479432
Brotogeris cyanoptera,Correia et al. (2016),LC,Aves,59.5,0.09023304726898279,-0.6132912450219392
Brotogeris versicolurus,Correia et al. (2016),LC,Aves,68.6,-0.005168135010405319,-0.843635207846138
Calliphlox amethystina,Correia et al. (2016),LC,Aves,3,0.1251862240584916,0.25949348130403316
Campylopterus largipennis,Correia et al. (2016),LC,Aves,7.5,-1.2403511254584252,-1.172773814636142
Chlorostilbon mellisugus,Correia et al. (2016),LC,Aves,2.7,0.4150063217224297,0.5537622420628551
Chrysuronia oenone,Correia et al. (2016),LC,Aves,4.8,0.021846502908145417,0.12946178158438368
Colibri coruscans,Correia et al. (2016),LC,Aves,6.5,1.0746172346812126,1.1570234224864422
Colibri delphinae,Correia et al. (2016),LC,Aves,5.3,0.43688765533389906,0.5370884955186641
Doryfera johannae,Correia et al. (2016),LC,Aves,3.5,-0.8681353254774793,-0.741242506723411
Florisuga mellivora,Correia et al. (2016),LC,Aves,6.8,2.243237566810855,2.3211950915212
Forpus passerinus,Correia et al. (2016),LC,Aves,25.8,1.5650212430121182,1.361230105046485
Heliodoxa aurescens,Correia et al. (2016),LC,Aves,6.1,-0.7072652150801213,-0.6189274764817132
Heliodoxa schreibersii,Correia et al. (2016),LC,Aves,7.7,-0.9497099158401471,-0.885098380414453
Heliomaster longirostris,Correia et al. (2016),LC,Aves,6.8,0.8113408035338698,0.8892983282442155
Hylocharis chrysura,Correia et al. (2016),LC,Aves,4.2,-1.1830400308883766,-1.0665274260223707
Hylocharis cyanus,Correia et al. (2016),LC,Aves,3.8,-0.2168944005800571,-0.09445024492087256
Leucippus chlorocercus,Correia et al. (2016),LC,Aves,4.8,-1.2306423341071437,-1.1230270554309056
Phaethornis bourcieri,Correia et al. (2016),LC,Aves,3.9,-0.6971430427439076,-0.5761817747830178
Phaethornis philippii,Correia et al. (2016),LC,Aves,4,-1.4270936683747062,-1.307615288112111
Phaethornis ruber,Correia et al. (2016),LC,Aves,2.4,0.03822680891690138,0.18143139235221062
Phaethornis subochraceus,Correia et al. (2016),LC,Aves,3.6,-1.3152919104751997,-1.189881979419426
Phaethornis superciliosus,Correia et al. (2016),LC,Aves,5.5,0.6989947978360174,0.7962298626241933
Polytmus guainumbi,Correia et al. (2016),LC,Aves,5.4,-0.5531429792117898,-0.4544250267253193
Thalurania furcata,Correia et al. (2016),LC,Aves,4.2,0.31734388466110947,0.4338564895271154
Threnetes leucurus,Correia et al. (2016),LC,Aves,5.7,-0.8234814530606351,-0.7292121636690487
Acanthagenys rufogularis,Garnett et al. (2018),LC,Aves,41.4,0.41281258573702967,0.4046893714823827
Acanthiza chrysorrhoa,Garnett et al. (2018),LC,Aves,9.8,0.7920726919280463,0.782622887719367
Acanthiza ewingii,Garnett et al. (2018),LC,Aves,6.7,0.9650658145869531,0.9554858702245554
Acanthiza inornata,Garnett et al. (2018),LC,Aves,6.9,0.41281258573702967,0.40324103751358165
Acanthiza iredalei,Garnett et al. (2018),LC,Aves,5.7,0.9650658145869531,0.9554438895298077
Acanthiza katherina,Garnett et al. (2018),LC,Aves,6.7,0.9650658145869531,0.9554858702245554
Acanthiza lineata,Garnett et al. (2018),LC,Aves,7.4,0.9650658145869531,0.9555152567108789
Acanthiza nana,Garnett et al. (2018),LC,Aves,6.3,0.41281258573702967,0.4032158490967329
Acanthiza pusilla,Garnett et al. (2018),LC,Aves,6.5,0.9650658145869531,0.9554774740856057
Acanthiza reguloides,Garnett et al. (2018),LC,Aves,7.4,0.41281258573702967,0.40326202786095555
Acanthiza robustirostris,Garnett et al. (2018),LC,Aves,5.9,0.41281258573702967,0.4031990568188338
Acanthiza uropygialis,Garnett et al. (2018),LC,Aves,6.2,0.41281258573702967,0.4032116510272581
Acanthorhynchus superciliosus,Garnett et al. (2018),LC,Aves,9,0.8394783011901781,0.8299949124257008
Acanthorhynchus tenuirostris,Garnett et al. (2018),LC,Aves,9,0.6511698142420972,0.6416864254776199
Acanthornis magnus,Garnett et al. (2018),LC,Aves,9.6,0.9650658145869531,0.955607614239324
Accipiter cirrocephalus,Garnett et al. (2018),LC,Aves,231,-0.022303122922462674,-0.02246679745291537
Accipiter fasciatus,Garnett et al. (2018),LC,Aves,549,-0.022303122922462674,-0.00911693652309599
Accipiter novaehollandiae,Garnett et al. (2018),LC,Aves,720,-1.1261147011179156,-1.1057498159166648
Acrocephalus arundinaceus,Garnett et al. (2018),LC,Aves,28.4,0.9650658145869531,0.9563968513005842
Aegotheles cristatus,Garnett et al. (2018),LC,Aves,44,0.41281258573702967,0.40479852128872723
Alauda arvensis,Garnett et al. (2018),LC,Aves,34.6,0.9650658145869531,0.9566571316080206
Alectura lathami,Garnett et al. (2018),LC,Aves,2210,-0.5567136916422559,-0.47379757126669436
Alisterus scapularis,Garnett et al. (2018),LC,Aves,242.9,0.16070091498391983,0.1610368107209667
Amytornis barbatus,Garnett et al. (2018),LC,Aves,18,0.41281258573702967,0.4037070232252829
Amytornis dorotheae,Garnett et al. (2018),VU,Aves,22.2,0.7629262257500163,1.0666672571063802
Amytornis goyderi,Garnett et al. (2018),LC,Aves,16.4,0.9650658145869531,0.9558930829636098
Amytornis housei,Garnett et al. (2018),NT,Aves,27.7,0.7629262257500163,0.18458302608715554
Amytornis purnelli,Garnett et al. (2018),LC,Aves,20,0.41281258573702967,0.4037909846147786
Amytornis striatus,Garnett et al. (2018),LC,Aves,18.9,0.41281258573702967,0.40374480585055594
Amytornis textilis,Garnett et al. (2018),LC,Aves,22.1,0.41281258573702967,0.40387914407374903
Amytornis woodwardi,Garnett et al. (2018),VU,Aves,33.2,1.2265114401135264,1.5307142591121168
Anas castanea,Garnett et al. (2018),LC,Aves,593,-2.580210176644068,-2.565176839675796
Anas gracilis,Garnett et al. (2018),LC,Aves,469,-1.0620647341352192,-1.0522370033156812
Anas platyrhynchos,Garnett et al. (2018),LC,Aves,1113,-1.9718036117513211,-1.934940313514162
Anas superciliosa,Garnett et al. (2018),LC,Aves,1013,-0.2668647180791267,-0.23419948931675316
Anous minutus,Garnett et al. (2018),LC,Aves,97.5,-1.0620647341352192,-1.0678328314145111
Anous stolidus,Garnett et al. (2018),LC,Aves,172.3,-1.0620647341352192,-1.0646926754473713
Anous tenuirostris,Garnett et al. (2018),LC,Aves,114,0.18922908835304203,0.1841536725370898
Anseranas semipalmata,Garnett et al. (2018),LC,Aves,2071,0.056558012993086125,0.1336388167986952
Anthochaera carunculata,Garnett et al. (2018),LC,Aves,98.7,-0.3643498746778636,-0.3700675951234581
Anthochaera chrysoptera,Garnett et al. (2018),LC,Aves,59.7,-0.3246260741990947,-0.3319810417398558
Anthochaera lunulata,Garnett et al. (2018),LC,Aves,53.7,0.1462399249686384,0.13863307325939023
Anthochaera paradoxa,Garnett et al. (2018),LC,Aves,123.3,-1.0620647341352192,-1.0667497294900163
Anthus novaeseelandiae,Garnett et al. (2018),LC,Aves,31.6,0.9650658145869531,0.9565311895237771
Aphelocephala leucopsis,Garnett et al. (2018),LC,Aves,13.3,0.41281258573702967,0.40350971395996793
Aphelocephala nigricincta,Garnett et al. (2018),LC,Aves,10.1,0.9650658145869531,0.9556286045866982
Aphelocephala pectoralis,Garnett et al. (2018),NT,Aves,12,0.7629262257500163,0.183923929179614
Aprosmictus erythropterus,Garnett et al. (2018),LC,Aves,137,0.16070091498391983,0.15659105514716837
Aptenodytes patagonicus,Garnett et al. (2018),LC,Aves,11500,-1.1261147011179156,-0.6531979265347381
Apus pacificus,Garnett et al. (2018),LC,Aves,44.7,0.009718525443696878,0.00173384748171794
Aquila audax,Garnett et al. (2018),LC,Aves,3810,-1.1261147011179156,-0.9760294691457787
Ardea sumatrana,Garnett et al. (2018),LC,Aves,2024,-2.580210176644068,-2.5051024654916083
Arenaria interpres,Garnett et al. (2018),LC,Aves,113,1.2265114401135264,1.2213940436028263
Ashbyia lovensis,Garnett et al. (2018),LC,Aves,17.1,0.8394783011901781,0.8303349560531584
Atrichornis clamosus,Garnett et al. (2018),EN,Aves,34.3,1.2265114401135264,0.9375360131580378
Aviceda subcristata,Garnett et al. (2018),LC,Aves,347,-0.022303122922462674,-0.01759703686216363
Biziura lobata,Garnett et al. (2018),LC,Aves,1551,-1.1261147011179156,-1.0708638585811936
Botaurus poiciloptilus,Garnett et al. (2018),EN,Aves,867.7,-0.3246260741990947,-0.5786147901517174
Bubulcus ibis,Garnett et al. (2018),LC,Aves,304,-2.580210176644068,-2.577309260457927
Bulweria bulwerii,Garnett et al. (2018),LC,Aves,99.9,0.056558012993086125,0.05089066938118905
Burhinus grallarius,Garnett et al. (2018),LC,Aves,625.3,-2.580210176644068,-2.56382086323544
Cacatua leadbeateri,Garnett et al. (2018),LC,Aves,392,0.5308386083068551,0.537433825630808
Cacatua sanguinea,Garnett et al. (2018),LC,Aves,487.8,-1.0620647341352192,-1.0514477662544215
Cacatua tenuirostris,Garnett et al. (2018),LC,Aves,546,-1.0620647341352192,-1.0490044898200963
Cacomantis castaneiventris,Garnett et al. (2018),LC,Aves,32,0.41281258573702967,0.40429475295175293
Cacomantis flabelliformis,Garnett et al. (2018),LC,Aves,49.9,0.009718525443696878,0.00195214709440681
Cacomantis variolosus,Garnett et al. (2018),LC,Aves,32.1,0.009718525443696878,0.001204890727894925
Calamanthus campestris,Garnett et al. (2018),LC,Aves,11.7,0.9650658145869531,0.9556957736982948
Calamanthus fuliginosus,Garnett et al. (2018),LC,Aves,21.7,0.9650658145869531,0.9561155806457733
Calidris acuminata,Garnett et al. (2018),LC,Aves,63.5,0.41281258573702967,0.4056171448363105
Calidris alba,Garnett et al. (2018),LC,Aves,55.4,0.41281258573702967,0.40527710120885274
Calidris canutus,Garnett et al. (2018),NT,Aves,148,0.43713875224095705,-0.1361541698437363
Calidris ferruginea,Garnett et al. (2018),NT,Aves,63.3,1.2265114401135264,0.649662753183689
Calidris melanotos,Garnett et al. (2018),LC,Aves,65.1,0.009718525443696878,0.0025902536545742913
Calidris ruficollis,Garnett et al. (2018),NT,Aves,26.6,0.7629262257500163,0.1845368473229329
Calidris subminuta,Garnett et al. (2018),LC,Aves,32,0.41281258573702967,0.40429475295175293
Calidris tenuirostris,Garnett et al. (2018),EN,Aves,174,0.43713875224095705,0.15402802834174417
Callipepla californica,Garnett et al. (2018),LC,Aves,162,0.6824467232032652,0.6793863807352103
Callocephalon fimbriatum,Garnett et al. (2018),LC,Aves,258.5,-0.139823748061652,-0.1388329534865385
Calyptorhynchus banksii,Garnett et al. (2018),LC,Aves,738.6,-0.8023715357936253,-0.7812258096700644
Calyptorhynchus lathami,Garnett et al. (2018),LC,Aves,405.4,-1.412178374148206,-1.4050206155146319
Caprimulgus macrurus,Garnett et al. (2018),LC,Aves,70.2,0.41281258573702967,0.4058984154911212
Carduelis carduelis,Garnett et al. (2018),LC,Aves,14.9,1.1364001927105192,1.127164490045054
Centropus phasianinus,Garnett et al. (2018),LC,Aves,444.9,-1.9718036117513211,-1.9629876156752066
Cereopsis novaehollandiae,Garnett et al. (2018),LC,Aves,3770,0.056558012993086125,0.20496401717530865
Certhionyx variegatus,Garnett et al. (2018),LC,Aves,25.1,0.009718525443696878,9.11025864659902e-4
Charadrius bicinctus,Garnett et al. (2018),LC,Aves,58.4,0.41281258573702967,0.40540304329309645
Charadrius dubius,Garnett et al. (2018),LC,Aves,39.2,0.41281258573702967,0.4045970139539375
Charadrius ruficapillus,Garnett et al. (2018),LC,Aves,37.6,0.1462399249686384,0.1379571840739497
Chenonetta jubata,Garnett et al. (2018),LC,Aves,800,-1.9718036117513211,-1.9480802709702416
Cincloramphus cruralis,Garnett et al. (2018),LC,Aves,32.4,0.9650658145869531,0.9565647740795754
Cinclosoma castaneothorax,Garnett et al. (2018),LC,Aves,58.7,0.41281258573702967,0.40541563750152076
Cinclosoma castanotus,Garnett et al. (2018),LC,Aves,69.6,0.41281258573702967,0.4058732270742724
Cinclosoma cinnamomeum,Garnett et al. (2018),LC,Aves,56.7,0.41281258573702967,0.4053316761120251
Cinclosoma punctatum,Garnett et al. (2018),LC,Aves,106.9,-0.022303122922462674,-0.027676601671124734
Circus approximans,Garnett et al. (2018),LC,Aves,870,-1.1261147011179156,-1.0994527117044859
Circus assimilis,Garnett et al. (2018),LC,Aves,671,-1.1261147011179156,-1.1078068699593098
Cladorhynchus leucocephalus,Garnett et al. (2018),LC,Aves,261,-0.5567136916422559,-0.5556179453302729
Climacteris affinis,Garnett et al. (2018),LC,Aves,21.4,0.009718525443696878,7.556972940928053e-4
Climacteris erythrops,Garnett et al. (2018),LC,Aves,22.7,0.41281258573702967,0.4039043324905978
Climacteris melanura,Garnett et al. (2018),LC,Aves,30.3,0.41281258573702967,0.40422338577068156
Climacteris picumnus,Garnett et al. (2018),LC,Aves,34.5,0.9650658145869531,0.9566529335385459
Climacteris rufa,Garnett et al. (2018),LC,Aves,30.8,0.8394783011901781,0.8309100915712039
Colluricincla boweri,Garnett et al. (2018),LC,Aves,44.4,0.9650658145869531,0.9570685424165497
Colluricincla harmonica,Garnett et al. (2018),LC,Aves,68.4,0.9650658145869531,0.9580760790904985
Colluricincla megarhyncha,Garnett et al. (2018),LC,Aves,33.1,0.41281258573702967,0.4043409317159755
Colluricincla woodwardi,Garnett et al. (2018),LC,Aves,52.6,0.9650658145869531,0.9574127841134823
Columba leucomela,Garnett et al. (2018),LC,Aves,418.7,-1.0620647341352192,-1.0543486322614986
Columba livia,Garnett et al. (2018),LC,Aves,267,-1.0620647341352192,-1.0607171036547491
Conopophila albogularis,Garnett et al. (2018),LC,Aves,11.1,0.6511698142420972,0.6417745849365902
Conopophila rufogularis,Garnett et al. (2018),LC,Aves,10.6,0.8394783011901781,0.830062081537297
Conopophila whitei,Garnett et al. (2018),LC,Aves,10.2,0.41281258573702967,0.4033795738062496
Coracina novaehollandiae,Garnett et al. (2018),LC,Aves,112.2,-0.022303122922462674,-0.02745410398896106
Coracina papuensis,Garnett et al. (2018),LC,Aves,73.5,0.009718525443696878,0.0029428914904563244
Coturnix pectoralis,Garnett et al. (2018),LC,Aves,106,0.41281258573702967,0.4074013243630945
Cracticus torquatus,Garnett et al. (2018),LC,Aves,76.8,0.47293512561313683,0.46629802795256425
Cuculus saturatus,Garnett et al. (2018),LC,Aves,77,-0.022303122922462674,-0.028931824444085735
Cyanoramphus novaezelandiae,Garnett et al. (2018),LC,Aves,67.9,1.1208653498644316,1.1138546240206029
Cygnus atratus,Garnett et al. (2018),LC,Aves,5100,0.056558012993086125,0.260798341189962
Cygnus olor,Garnett et al. (2018),LC,Aves,9670,-1.1261147011179156,-0.7300225979233212
Dacelo leachii,Garnett et al. (2018),LC,Aves,334.5,0.16070091498391983,0.16488224235987065
Dacelo novaeguineae,Garnett et al. (2018),LC,Aves,352.1,0.5308386083068551,0.5357587959103682
Daphoenositta chrysoptera,Garnett et al. (2018),LC,Aves,11.7,0.41281258573702967,0.40344254484837133
Daption capense,Garnett et al. (2018),LC,Aves,407,-0.5567136916422559,-0.5494887638970853
Dasyornis brachypterus,Garnett et al. (2018),EN,Aves,40.2,0.7629262257500163,0.47419848489354005
Dasyornis broadbenti,Garnett et al. (2018),LC,Aves,66,0.9650658145869531,0.9579753254231035
Dendrocygna arcuata,Garnett et al. (2018),LC,Aves,732,0.056558012993086125,0.07742666653131113
Dendrocygna eytoni,Garnett et al. (2018),LC,Aves,792,0.056558012993086125,0.07994550821618271
Dendrocygna guttata,Garnett et al. (2018),LC,Aves,800,0.056558012993086125,0.08028135377416558
Diomedea epomophora,Garnett et al. (2018),VU,Aves,7560,-0.3246260741990947,0.2955570380276855
Diomedea exulans,Garnett et al. (2018),VU,Aves,7270,-1.0005271877211404,-0.39251847697123926
Dromaius novaehollandiae,Garnett et al. (2018),LC,Aves,38300,-1.1261147011179156,0.47188469270790034
Drymodes brunneopygia,Garnett et al. (2018),LC,Aves,31.1,0.41281258573702967,0.40425697032647984
Ducula spilorrhoa,Garnett et al. (2018),LC,Aves,441.1,-0.5567136916422559,-0.5480572222061832
Eclectus roratus,Garnett et al. (2018),LC,Aves,560.8,-0.8023715357936253,-0.7886899771962339
Elanus axillaris,Garnett et al. (2018),LC,Aves,293,-0.3643498746778636,-0.3619107461339489
Elanus scriptus,Garnett et al. (2018),NT,Aves,343,-0.2668647180791267,-0.8319714046879875
Elseyornis melanops,Garnett et al. (2018),LC,Aves,31.5,0.1462399249686384,0.13770110183598777
Entomyzon cyanotis,Garnett et al. (2018),LC,Aves,97.2,-0.139823748061652,-0.1456044395493683
Eolophus roseicapillus,Garnett et al. (2018),LC,Aves,299.3,-0.139823748061652,-0.13712014114082582
Eopsaltria australis,Garnett et al. (2018),LC,Aves,18.3,0.6511698142420972,0.6420768459387747
Eopsaltria griseogularis,Garnett et al. (2018),LC,Aves,19.6,0.6511698142420972,0.642131420841947
Epthianura albifrons,Garnett et al. (2018),LC,Aves,13.2,0.1462399249686384,0.13693285512210193
Epthianura aurifrons,Garnett et al. (2018),LC,Aves,10.3,0.8394783011901781,0.8300494873288727
Epthianura crocea,Garnett et al. (2018),LC,Aves,9.1,0.8394783011901781,0.8299991104951754
Epthianura tricolor,Garnett et al. (2018),LC,Aves,10.6,0.8394783011901781,0.830062081537297
Erythrogonys cinctus,Garnett et al. (2018),LC,Aves,50,0.1462399249686384,0.13847774468882315
Eudyptes chrysocome,Garnett et al. (2018),VU,Aves,2440,-2.580210176644068,-2.1749682215263286
Eudyptes chrysolophus,Garnett et al. (2018),VU,Aves,5210,-2.580210176644068,-2.0586816970747575
Eurostopodus argus,Garnett et al. (2018),LC,Aves,91,-0.5567136916422559,-0.562754663437409
Eurystomus orientalis,Garnett et al. (2018),LC,Aves,135.5,-0.5567136916422559,-0.5608865225211291
Falco berigora,Garnett et al. (2018),LC,Aves,681.4,-1.1261147011179156,-1.1073702707339321
Falco cenchroides,Garnett et al. (2018),LC,Aves,182,-1.0620647341352192,-1.064285462708317
Falco longipennis,Garnett et al. (2018),LC,Aves,282,-0.5567136916422559,-0.5547363507405677
Falco peregrinus,Garnett et al. (2018),LC,Aves,865.6,-2.580210176644068,-2.5537329022875292
Falco subniger,Garnett et al. (2018),LC,Aves,797.6,-2.580210176644068,-2.556587589530384
Falcunculus frontatus,Garnett et al. (2018),LC,Aves,25.6,0.8394783011901781,0.830691791958515
Fregata ariel,Garnett et al. (2018),LC,Aves,858,-1.1261147011179156,-1.0999564800414603
Fregata minor,Garnett et al. (2018),LC,Aves,1630,-1.1261147011179156,-1.0675473836961127
Fregetta grallaria,Garnett et al. (2018),LC,Aves,52,0.7629262257500163,0.7552480068596967
Fregetta tropica,Garnett et al. (2018),LC,Aves,54.2,0.41281258573702967,0.4052267243751554
Fulica atra,Garnett et al. (2018),LC,Aves,715,-1.0620647341352192,-1.041909752407708
Fulmarus glacialoides,Garnett et al. (2018),LC,Aves,745,-2.580210176644068,-2.558795774074121
Gallinago hardwickii,Garnett et al. (2018),LC,Aves,160.4,-0.5567136916422559,-0.5598412032219076
Gallinago stenura,Garnett et al. (2018),LC,Aves,132,-0.5567136916422559,-0.5610334549527468
Gallinula tenebrosa,Garnett et al. (2018),LC,Aves,493,-0.3643498746778636,-0.3535146071843771
Gallus gallus,Garnett et al. (2018),LC,Aves,500,-0.1750838006937459,-0.16395466833702432
Garrodia nereis,Garnett et al. (2018),LC,Aves,24,0.4610935123495311,0.4522398340062715
Geoffroyus geoffroyi,Garnett et al. (2018),LC,Aves,142.5,0.16070091498391983,0.15682194896828158
Geopelia cuneata,Garnett et al. (2018),LC,Aves,30.5,0.1462399249686384,0.1376591211412399
Geopelia humeralis,Garnett et al. (2018),LC,Aves,124.2,-0.3643498746778636,-0.3689970874073877
Geophaps plumifera,Garnett et al. (2018),LC,Aves,87.8,0.1462399249686384,0.14006461495029227
Geophaps scripta,Garnett et al. (2018),LC,Aves,215,-0.3643498746778636,-0.36518524032428207
Geophaps smithii,Garnett et al. (2018),VU,Aves,180,0.18922908835304203,0.49959467334061836
Gerygone fusca,Garnett et al. (2018),LC,Aves,5.2,0.41281258573702967,0.40316967033251033
Gerygone levigaster,Garnett et al. (2018),LC,Aves,5.9,0.9650658145869531,0.9554522856687572
Gerygone magnirostris,Garnett et al. (2018),LC,Aves,6.7,0.9650658145869531,0.9554858702245554
Gerygone modesta,Garnett et al. (2018),NT,Aves,7.9,1.2265114401135264,0.6473370226946576
Gerygone mouki,Garnett et al. (2018),LC,Aves,5.3,0.41281258573702967,0.403173868401985
Gerygone olivacea,Garnett et al. (2018),LC,Aves,6.1,1.28383311392437,1.2742279811451236
Gerygone palpebrosa,Garnett et al. (2018),LC,Aves,7.5,1.28383311392437,1.274286754117772
Gerygone tenebrosa,Garnett et al. (2018),LC,Aves,7.4,0.41281258573702967,0.40326202786095555
Glareola maldivarum,Garnett et al. (2018),LC,Aves,75.2,0.009718525443696878,0.0030142586715276726
Glossopsitta concinna,Garnett et al. (2018),LC,Aves,73.4,0.5421672229358945,0.5353873909131791
Glossopsitta porphyrocephala,Garnett et al. (2018),LC,Aves,45.5,0.8394783011901781,0.8315272077839972
Glossopsitta pusilla,Garnett et al. (2018),LC,Aves,39.7,0.8394783011901781,0.83128371975446
Glycichaera fallax,Garnett et al. (2018),LC,Aves,9,0.41281258573702967,0.40332919697255215
Grantiella picta,Garnett et al. (2018),VU,Aves,18,0.7629262257500163,1.0664909381884393
Gygis alba,Garnett et al. (2018),LC,Aves,135,-1.0620647341352192,-1.0662585553614665
Haematopus fuliginosus,Garnett et al. (2018),LC,Aves,778.5,-2.580210176644068,-2.5573894208000665
